id,orig,trans
0101Adv02_Ema001,――ちがう！,——不对！
0101Adv02_Ema002,え、な、なに、ここ……？,咦，怎么回事，这里是……？
0101Adv02_Ema003,ろ、牢屋……！？ なんで！？,牢、牢房……！？为什么！？
0101Adv02_Ema004,（明日から高校生だって……<br>　ワクワクしながら眠ったはず）,"（昨天是想到明天我就要上高中了……<br>
　很开心地睡着了才对）"
0101Adv02_Ema005,（眠る前に覚えてるのは……壁にかけてあった<br>　ピカピカの高校の制服）,"（记得睡觉前……我还看着挂在墙上的<br>
　全新的高中制服）"
0101Adv02_Ema006,（いちからぜんぶやりなおすんだって、決めて……）,（还下了决心，一切要重头来过……）
0101Adv02_Ema007,（これって悪夢の続き……？）,（这是噩梦的后续……？）
0101Adv02_Ema008,ねえ、ここどこなのかな！？,我说，这里究竟是什么地方！？
0101Adv02_Ema009,（……よかった、閉じ込められているのは<br>　ボクだけじゃない）,"（……太好了，被关进来的<br>
　不止我一个人）"
0101Adv02_Ema010,"> 息を呑む
――！！",——！！
0101Adv02_Ema011,"（ウソでしょ……<br>　<ruby=""にかいどう"">二階堂</ruby>ヒロ……ちゃん？）","（真的假的……<br>
　是二阶堂希罗……？）"
0101Adv02_Ema012,あ……。,啊……
0101Adv02_Ema013,あ、あのね、ヒロちゃ……。,我、我说，希罗……
0101Adv02_Ema014,（え、何！？ フ、フクロウの化け物……！？）,（欸，怎么回事！？猫、猫头鹰怪物……！？）
0101Adv02_Ema015,ゴクチョー……？ 看守……？,典狱长……？看守……？
0101Adv02_Ema016,ひっ……。,噫……
0101Adv02_Ema017,ヒ、ヒロちゃ……。,希、希罗……
0101Adv02_Ema018,っ……！,……！
0101Adv03_Ema001,ま、待ってよヒロちゃん！,等、等我一下，希罗！
0101Adv03_Ema002,（良かった……全員中学の頃の同級生だったら<br>　どうしようかと……）,"（太好了……我还在想，<br>
　要是全部人都是初中的同学，我该怎么办呢……）"
0101Adv03_Ema003,（あの異形が看守ってことなのかな）,（那个异形就是所谓的看守吧）
0101Adv03_Ema004,ヒロちゃん！,希罗！
0101Adv03_Ema005,あの、あのね。色々あったけど、<br>ヒロちゃんにまた会えてよかった。,"听、听我说。虽然发生了这样那样的事，<br>
不过还能见到希罗你，真是太好了。"
0101Adv03_Ema006,ボク、変わったんだよ。<br>もう前のボクじゃない。<br>ヒロちゃんと友だちになりたいんだ。,"我已经下决心改变了，<br>
已经不是过去的我了。<br>
我想和你做朋友。"
0101Adv03_Ema007,ボ、ボク諦めないから！,我，我不会放弃的！
0101Adv03_Ema008,あうっ,呀！
0101Adv03_Ema009,ま、待ってよ……！,等、等下……！
0101Adv04_Ema001,うわぁ……広い。,哇……好大。
0101Adv04_Ema002,これって本物……？,这东西，是真的……？
0101Adv04_Ema003,え、う、うん……？,欸，嗯……？
0101Adv04_Ema004,（さ、最初が肝心……！<br>　自己紹介でボクの第一印象が決まるんだから、気合……！）,"（开、开头是最重要的……！<br>
　我的第一印象就靠自我介绍决定了，要打起精神……！）"
0101Adv04_Ema005,ボ、ボクは、桜羽エマ！,我、我是，樱羽艾玛！
0101Adv04_Ema006,え、えーと、なんだろう？,欸，呃，有什么事吗？
0101Adv04_Ema007,（さっき、ヒロちゃんに突き飛ばされた時か……）,（是刚刚被希罗推倒的时候受的伤……）
0101Adv04_Ema008,大したことないよ、大丈夫！,不算什么问题啦，没事的！
0101Adv04_Ema009,え……？,欸……？
0101Adv04_Ema010,あ、ありがとう。,谢、谢谢你。
0101Adv04_Ema011,言われてみれば……ボクも見たような。,听你们一讲……我好像也见过。
0101Adv04_Ema012,（舞台やテレビや映画でも活躍してる女優さんで……<br>　すごく恰好良い子だなぁって……まさか、本人？）,"（记得是活跃在舞台剧、电视节目、电影领域的女演员……<br>
　而且身材长相都超级好的……难道真的是本人？）"
0101Adv04_Ema013,（ヒロちゃん……）,（希罗……）
0101Adv04_Ema014,（このフクロウ、さっきモニターで見た……！）,（是刚刚在电视上看到的猫头鹰……！）
0101Adv04_Ema015,（魔女……？ 魔女って、なに……？）,（魔女……？魔女，是什么……？）
0101Adv04_Ema016,（囚人……？）,（囚犯……？）
0101Adv04_Ema017,……っ,……
0101Adv04_Ema018,えへへ、へーきへーき。,欸嘿嘿，没事的啦。
0101Adv04_Ema019,（まさか、違うよね……？<br>　嫌ってるからって、さすがに殺そうとなんて）,"（不可能，的吧……？<br>
　再怎么讨厌我，也不至于要杀人吧）"
0101Adv04_Ema020,（ああそうだ、ヒロちゃんは……そういう子だった）,（啊，我想起来了，希罗她……就是这样的性格）
0101Adv04_Ema021,え……？,欸……？
0101Adv04_Ema022,ヒロちゃん……？,希罗……？
0101Adv04_Ema023,（また友だちになれるって……やり直せるって思った、のに）,（明明想着还可以重来……还可以再和你当朋友的）
0101Adv04_Ema024,ウソだよね、ヒロちゃん……？<br>やだ、やだ、やだ。,"这不是真的吧，希罗……？<br>
不要，不要，不要。"
0101Adv04_Ema025,（これ……って）,（这是……）
0101Adv04_Ema026,（ヒロちゃん……もう、手離さないよ）,（希罗……我不会再把它弄丢了）
0101Adv04_Ema027,（良かった……？<br>　ヒロちゃんは死んだのに、そんなわけ……！）,"（好……？<br>
　希罗都死了，怎么可能好……！）"
0101Adv04_Ema028,（そうだよね、いるわけなんか、ない……）,（是啊，怎么可能，会有其他人……）
0101Adv05_Ema001,（危ない！）,（危险！）
0101Adv05_Ema002,（もうやめてよ――！）,（不要再这样了——！）
0101Adv05_Ema003,（ほんとだ……ボクの持ってたやつじゃないけど、<br>　スマホを持たせてくれてる……<br>　これがあれば外と連絡できる！？）,"（真的欸……虽然不是我自己的，<br>
　不过确实有一部智能手机……<br>
　难道可以用它联络外界！？）"
0101Adv05_Ema004,……ボクも、嫌だ。,……我也，不愿意。
0101Adv05_Ema005,ヒロちゃんを殺した、<br>あいつらに従うのなんて、嫌だっ！<br>あいつらを絶対に許さない！,"我才不要听，杀死希罗的<br>
那帮家伙讲的话！<br>
我绝对不会原谅它们！"
0101Adv05_Ema006,ヒロちゃんは……っ<br>ヒロちゃんは正しい子だから……。,"因为，希罗她……<br>
希罗她是一个正直的人……"
0101Adv05_Ema007,ぷん、ぷん……？,浓郁的，味道……？
0101Adv05_Ema008,そ、そんなことできないよ。<br>ヒロちゃんみたいに殺されちゃう。,"不、不可以啦。<br>
会像希罗那样被杀死的。"
0101Adv05_Ema009,（ヒロちゃんを殺した看守も、ゴクチョーも許せない……<br>　でも……）,"（不能原谅杀死希罗的看守，还有典狱长……<br>
　可是……）"
0101Adv05_Ema010,（考えなしに突っ込んでも、同じ目に遭うだけだ。<br>　冷静に行動しないと）,"（不多加考虑冲动行事，只会落得同样的下场。<br>
　我一定要冷静行动）"
0101Adv05_Ema011,……とりあえず、ボクたちも一度地下に戻ろう。<br>規則には、目を通しておくべきだし。,"……总之，我们先回地下去吧。<br>
我们也应该看一下规定才对。"
0101Adv05_Ema012,でも大人しくしているつもりなんてない。<br>……ボクは絶対に、ヒロちゃんを殺したこと、<br>許さないから。,"不过我并不打算坐以待毙。<br>
……它们杀死了希罗，<br>
我绝不会原谅。"
0101Adv06_Ema001,（ボクの囚人番号は６５８番か……）,（我的囚犯编号是658号……）
0101Adv06_Ema002,"（古臭い建物なのに、<br>　オートロックなんだ……なんか、<ruby=""いびつ"">歪</ruby>だな）","（明明是个老旧的建筑物，<br>
　安装的却是自动锁……总感觉有点错位）"
0101Adv06_Ema003,ヒロちゃん……。,希罗……
0101Adv06_Ema004,（パニックでほとんど見てなかったけど……<br>　洗面所やトイレ、机なんかもある）,"（之前因为恐慌，还没好好观察室内……<br>
　这里有洗脸台和厕所，还有桌椅也都有）"
0101Adv06_Ema005,（最低限の生活保障はされてる……。<br>　ボクらはずっとここで生活していくの……？）,"（至少有最低限度的生活保障……<br>
　我们要一直在这个地方生活下去吗……？）"
0101Adv06_Ema006,（そうだ、規則を確認してみよう）,（对了，确认一下规定吧）
0101Adv06_Ema007,（自分の持ってたスマホじゃないけど、<br>　機能はよく知ってるやつと同じみたい）,"（虽然不是自己的手机，<br>
　不过功能和我熟悉的型号一样）"
0101Adv06_Ema008,（時間の確認ができるのは助かる。<br>　これで外と連絡さえできたらな……）,"（能确认时间已经很好了。<br>
　要是能用它联络外部就好了……）"
0101Adv06_Ema009,（懲罰房って……どんなところなんだろう）,（惩罚室……究竟是个什么样的地方呢）
0101Adv06_Ema010,殺人事件なんて起こるわけないよ……。,怎么可能会发生凶杀案……
0101Adv06_Ema011,（ヒロちゃんは暴走したけど……<br>　みんな同世代の、普通の子に見えた）,"（虽然希罗失控了……<br>
　可是其他人看起来都是同龄的普通人）"
0101Adv06_Ema012,（その子たち同士が殺し合いするなんて、<br>　想像もつかない……）,"（根本无法想像<br>
　她们会互相厮杀……）"
0101Adv06_Ema013,魔法……？ そんなもの、ボクは使えないけど……。,魔法……？可是我不会用欸……
0101Adv06_Ema014,疲れた……。,累了……
0101Adv06_Ema015,（ふかふかのベッド……お気に入りの抱き枕……<br>　高校の制服……全部なくなっちゃった）,"（软绵绵的被窝……最爱的抱枕……<br>
　高中的制服……一切都不复存在了）"
0101Adv06_Ema016,お父さん、お母さん、心配してるかな……？,爸爸妈妈，你们有没有在担心我……？
0101Adv06_Ema017,（きっと警察に捜索願を出して、<br>　必死に捜してくれてる……）,"（他们肯定有找警察报案，<br>
　现在还在拼命地找我……）"
0101Adv06_Ema018,うぅ……。,呜……
0101Adv06_Ema019,（中学では失敗しちゃったけど、<br>　高校ではたっくさん友だち作るぞって）,"（虽然初中搞砸了，<br>
　但是我明明已经下了决心）"
0101Adv06_Ema020,（もうお父さんとお母さんに心配かけないぞって<br>　決めてたのに……）,"（要在高中交很多朋友，<br>
　不要再让爸妈操心的……）"
0101Adv06_Ema021,（なんでボクはこんなところに<br>　閉じ込められちゃったの……？）,"（为什么我要被关进<br>
　这种地方里面……？）"
0101Adv06_Ema022,うぅ……うー……。,呜呜……呜……
0101Adv07_Ema001,夕食……。,晚餐……
0101Adv07_Ema002,（そういえば起きてから何も食べてない……。<br>　お腹は空いてる……）,"（说起来，从醒来后就没吃过东西……<br>
　肚子饿了……）"
0101Adv07_Ema003,（こんな生活受け入れたくないけど……<br>　食べないと考えがまとまらない）,"（虽然不想接受这样的生活……<br>
　可是不吃饭头脑也转不起来）"
0101Adv07_Ema004,食堂ってどこだろ……。,食堂在哪里呢……
0101Adv07_Ema005,あ、あったあった、食堂は……。,啊，找到了，食堂在这边……
0101Adv07_Ema006,（城ケ崎、ノアちゃん……）,（是城崎诺亚……）
0101Adv07_Ema007,あの、あのさ、ごはんだけど行かないの？,呃，你好？现在是晚餐时间，你不去吃饭吗？
0101Adv07_Ema008,（この子、捕まってる自覚あるのかな？<br>　なんかやたら呑気だけど……）,"（她到底有没有意识到自己被抓了？<br>
　感觉她悠哉游哉的……）"
0101Adv07_Ema009,お絵描きって、何を描いてるのかな。,那你现在在画什么东西呢？
0101Adv07_Ema010,えっ……！,欸……！
0101Adv07_Ema011,な、な、何で！,怎、怎么回事！
0101Adv07_Ema012,（勝手に動くって……<br>　それって、魔法、だよね？）,"（会动……<br>
　是因为，用了魔法？）"
0101Adv07_Ema013,（さっき、メルルちゃんの手が光って、<br>　ボクの血を止めてくれたのと同じだ）,"（跟刚才梅露露的手发光<br>
　帮我止血的时候一样）"
0101Adv07_Ema014,（魔法は本当に、存在する……？）,（魔法真的存在吗……？）
0101Adv07_Ema015,（今は考える余裕がないや……）,（现在没有功夫慢慢想了……）
0101Adv07_Ema016,……じゃ、じゃあボクは行くね。,……那，那我先走啦。
0101Adv07_Ema017,（あの子は、確か紫藤アリサちゃん！？）,（我记得她，是紫藤亚里沙！？）
0101Adv07_Ema018,（抵抗したら……殺されるかも）,（要是反抗的话……说不定会被杀死）
0101Adv07_Ema019,（アリサちゃんを連れて、一体どこへ……？）,（它究竟要把亚里沙带到什么地方……？）
0101Adv08_Ema001,えっと……。,呃……
0101Adv08_Ema002,（あ、別に席が決められてるわけじゃないんだ）,（啊，原来是这里是自由就座啊）
0101Adv08_Ema003,あ、ありがとう。,谢、谢谢你。
0101Adv08_Ema004,（い、いじめじゃないよね？）,（……她们没有故意霸凌我吧？）
0101Adv08_Ema005,（ってことは、<br>　この牢屋敷の料理がひどいってことか……）,"（那就是说，<br>
　这座监牢的饭菜都是这么糟糕……）"
0101Adv08_Ema006,……これって、あの看守が作ってるのかな。,……这些饭菜都是那些看守做的吧。
0101Adv08_Ema007,あの、その看守のことなんだけど……<br>ボク、さっきアリサちゃんが捕まっちゃってるの<br>見ちゃって……。,"说到看守……<br>
我刚刚碰见有看守<br>
把亚里沙抓走了……"
0101Adv08_Ema008,懲罰房……何かされるところなのかな。,惩罚室……究竟会有什么惩罚呢。
0101Adv08_Ema009,魔法……？,魔法……？
0101Adv08_Ema010,（メルルちゃんや、さっきのノアちゃんにも<br>　信じられないものを見せられた。<br>　それって普通のことなのかな……？）,"（刚刚梅露露还有诺亚<br>
　都做出了超乎想像的事情。<br>
　这些都是很普通的事情吗……？）"
0101Adv08_Ema011,ね、ねえみんなは当たり前みたいに魔法って言ってるけど……<br>ここに捕まったみんな、魔法を使えるってこと？,"大家都在理所当然地聊什么魔法……<br>
我想问，被抓进来的大家是不是都会魔法？"
0101Adv08_Ema012,ボク、魔法なんて使えないと思うんだけど……。,可是我根本就不会使用魔法……
0101Adv08_Ema013,ボク、ぜんぜん知らなかった……。,我完全没听说过有这么一回事……
0101Adv08_Ema014,（ボク、友だち、いなかったもんな……<br>　でも、やっぱり魔法なんて信じられないや……）,"（因为我没有朋友……<br>
　可是魔法实在是太难以置信了……）"
0101Adv08_Ema015,ボク、間違えて<br>ここに連れてこられたんじゃないかな？,"我想，他们是不是搞错了<br>
才把我送到这里来了？"
0101Adv09_Ema001,（色々見てまわりたいけど……<br>　すごく疲れてる）,"（今天到处都看过了……<br>
　已经很累了）"
0101Adv09_Ema002,（今日はもう寝よう……）,（今天就先睡吧……）
0101Adv09_Ema003,――！,——！
0101Adv09_Ema004,ノ、ノアちゃん！？,诺、诺亚！？
0101Adv09_Ema005,い、いやだって、この部屋……<br>なんでこんなことに？,"呃，我说，这个房间……<br>
怎么变成这样了？"
