id,orig,trans
0101Adv04_Hanna001,"……ふんっ、<ruby=""とおの"">遠野</ruby>ハンナですわ。<br>お見知りおきあそばっ……お見知りおきあそばせせ？","……呵，我是远野汉娜。<br>
往后请多多指照……往后请多多关教？"
0101Adv04_Hanna002,ちょっとお先によろしいかしら？<br>あなた、レイアさんと言ったわね。<br>いきなり人のことを笑うのは失礼じゃなくて？,"能先让我讲话吗？<br>
你的名字叫蕾雅对不对。<br>
一上来就笑话别人，也太失礼了吧？"
0101Adv04_Hanna003,きっ、気にしてないし……っ,我、我也没在意啦……
0101Adv04_Hanna004,もう突っ込まないでいいから！<br>ほっとけ～～っ！！ ですわ！！,"不要再吐槽了啦！<br>
你别管我了～～！！就这样！！"
0101Adv04_Hanna005,名探偵ぃ？？ あなたが？？,名侦探？？你？？
0101Adv04_Hanna006,キャアアアーッ！！,呀啊啊啊——！！
0101Adv05_Hanna001,わたくしもあなた側につきますわ。<br>偉そうに仕切るヤツが嫌いなんですの。,"我也要和你站一边。<br>
本小姐最讨厌那种一副大人物的样子指指点点的人了。"
0101Adv08_Hanna001,あなた味覚ぶっ壊れていますの？<br>超絶まじーですわ……。,"你的舌头是不是坏掉了？<br>
这个超级难吃的……"
0101Adv08_Hanna002,禁止時間に外にいたのなら、<br>懲罰房とやらへ連れていかれたのかも<br>しれませんわね……。,"如果在禁止时间内被发现人在外面，<br>
应该就会被带到<br>
那个所谓的惩罚室吧……"
0101Adv08_Hanna003,あいつ……<br>魔法を使っているにちげーねーですわ。,"那个女人……<br>
刚刚肯定在用魔法。"
0101Adv08_Hanna004,女子を誘惑する魔法なんか使って……<br>しかも芸能人だからって、囲いを作って、偉そうに！,"竟然使出诱惑女孩子的魔法……<br>
而且还仗着自己是艺人，搞什么小团体，真叫人生气！"
0101Adv08_Hanna005,……ふぅ、何も知りませんのね。シェリーさんも、<br>あなたも。,"……哈啊，看来你们两个<br>
是真的什么都不知道呢。"
0101Adv08_Hanna006,魔女因子を持っている子は、不思議な力が使えるんですの。<br>それが【魔法】。,"拥有魔女因子的人，可以使用神奇的力量哦。<br>
那就是【魔法】。"
0101Adv08_Hanna007,あなたたちも気付いてないだけで、<br>何か不思議な力を持っているはずですわ。,"只是你们没有发现，<br>
自己其实也会用某些神奇的能力而已。"
0101Adv08_Hanna008,あ……あ……。,啊……啊……
0101Adv08_Hanna009,どこがちょっとなんですの！？ ゴリラ女！？,这算哪门子的“稍微”啦！？你是猩猩女吗！？
