id,orig,trans
0101Adv02_Hiro001,何故、君がここに？,为什么你会在这里？
0101Adv02_Hiro002,ここはどこだ？,这是哪里？
0101Adv02_Hiro003,正しい説明がなされるのかな。<br>それなら早く向かわないと……。,"所谓的说明，会解释清楚情况吗。<br>
那我得快点过去……"
0101Adv02_Hiro004,気安く触れないでほしい。<br>忘れてもらっては困る。私は君が嫌いなんだ。,"不要随便碰我。<br>
你可别忘了，我讨厌你。"
0101Adv03_Hiro001,……。,……
0101Adv03_Hiro002,……。,……
0101Adv03_Hiro003,っ……。,……
0101Adv03_Hiro004,君が変わったとして、<br>そのことが、私になんの意味が？,"你改变了，<br>
跟我有什么关系？"
0101Adv03_Hiro005,私が君を嫌いなことは変わらない。<br>この先永遠に。,"我讨厌你的事实不会改变。<br>
永远不会。"
0101Adv04_Hiro001,"私の名前は<ruby=""にかいどう"">二階堂</ruby>ヒロだ。",我的名字是二阶堂希罗。
0101Adv04_Hiro002,間違いです。<br>私は悪ではない。,"你搞错了。<br>
我不是邪恶。"
0101Adv04_Hiro003,この国に災厄をもたらす<br>危険因子はこの子の方だ。,"给这个国家带来灾难的危险因子，<br>
是她才对。"
0101Adv04_Hiro004,間違っている。私は悪じゃない。,你错了。我不是邪恶。
0101Adv04_Hiro005,この世界を正すことができるのは、私だけだ。,能导正这个世界的，只有我。
0101Adv04_Hiro006,私はこの世の悪を排す。<br>まずは――。,"就让我来消灭这个世界的邪恶。<br>
第一个该消灭的——"
0101Adv04_Hiro007,貴様だ！ 化け物！,就是你！怪物！
0101Adv04_Hiro008,悪は死ね！ 死ね死ね死ね！,邪恶去死！去死去死去死！
0105Adv10_Hiro001,君が変わったとして、<br>そのことが、私になんの意味が？,"你改变了，<br>
跟我有什么关系？"
0105Adv10_Hiro002,私が君を嫌いなことは変わらない。<br>この先永遠に。,"我讨厌你的事实不会改变。<br>
永远不会。"
0105Adv11_Hiro001,――【戻った】、ということか……。,——这是【回溯了】吗……
0105Adv11_Hiro002,それなら、はじめから、やり直さないと。,那就得从头开始了。
0201Adv03_Hiro001,――【戻った】、ということか……。,——这是【回溯了】吗……
0201Adv03_Hiro002,それなら、はじめから、やり直さないと。,那就得从头开始了。
0201Adv03_Hiro003,（うるさい）,（吵死了）
0201Adv03_Hiro004,（大丈夫だ、私は正しく振舞える）,（没事，我能作出正确行动）
0201Adv03_Hiro005,（――彼女の顔を見ても、平気だ）,（——即使看到她那张脸，我也能保持冷静）
0201Adv03_Hiro006,ああ、エマ。,啊，艾玛。
0201Adv03_Hiro007,驚くことでもない。<br>私と君はルームメイトになった。<br>ただそれだけの話だ。,"没什么好惊讶的。<br>
你我成为了室友。<br>
仅此而已。"
0201Adv03_Hiro008,（どうしてまた私の前に現れたんだ）,（为什么你又出现在我面前）
0201Adv03_Hiro009,ああほら、そろそろはじまる。,啊，你看，快开始了。
0201Adv03_Hiro010,（動揺していたとはいえ、<br>　私の行動はどうかしていた）,"（虽说内心产生了动摇，<br>
　但我那时确实不应该那么做）"
0201Adv03_Hiro011,（何故あれほどまでに<br>　衝動的になってしまったのか……）,"（为什么当时会<br>
　冲动到那个地步……）"
0201Adv03_Hiro012,（理性を保たないといけない。<br>　そろそろ――【アレ】が来る）,"（必须保持理智。<br>
　——【那个】马上要来了）"
0201Adv03_Hiro013,（この牢屋敷の看守<br>　……私を殺した化け物）,"（这座监牢的看守……<br>
　就是上次杀死我的怪物）"
0201Adv03_Hiro014,私はまったく驚いていない。,我一点也不惊讶。
0201Adv03_Hiro015,悪いが、そのつもりはない。<br>私は君を許せないし、その事実は変わらない。,"抱歉，我没有那个打算。<br>
我无法原谅你，这一点不会改变。"
0201Adv03_Hiro016,話はそれだけか？ じゃあ。,说完了？那我走了。
0201Adv03_Hiro017,（これがエマの本性だ）,（这就是艾玛的本性）
0201Adv03_Hiro018,（もうその手には乗らない）,（我不会再上当了）
0201Adv03_Hiro019,（……二度と会いたくなかった）,（……再也不想见到她了）
0201Adv03_Hiro020,（私はこの後、看守に殺される）,（接下来，我会被看守杀死）
0201Adv03_Hiro021,（まずは暴走して看守に殺されるのは避けないと）,（首先得避免因失控而被看守杀死）
0201Adv04_Hiro001,（この子たちは【魔女】……？<br>　私を含めて全員存在が間違っているもの？）,"（她们就是【魔女】……？<br>
　包括我在内，每个人都是不应该存在的错误？）"
0201Adv04_Hiro002,（いずれあの看守のように、化け物になる？）,（最终都会变成像那个看守一样的怪物？）
0201Adv04_Hiro003,（いや、私は間違った存在じゃない。<br>　間違っているのは彼女の方だ）,"（不，我才不是错误的。<br>
　错误的是她才对）"
0201Adv04_Hiro004,みんな初対面だし、<br>自己紹介をしていこう！,"大家都是初次见面，<br>
来做个自我介绍吧！"
0201Adv04_Hiro005,私の名前は二階堂ヒロ。<br>以後よろしく。,"我是二阶堂希罗。<br>
今后请多关照。"
0201Adv04_Hiro006,いいや、まったく。,不，完全不了解。
0201Adv04_Hiro007,彼女は芸能人だ。舞台やテレビで活躍している。,她是个艺人。经常上电视，舞台演出也很多。
0201Adv04_Hiro008,どうでもいい情報に時間を割きたくない。<br>ちなみにサインやコラボは受け付けていない。,"我不想在无关紧要的信息上浪费时间。<br>
顺带一提，她不会给路人签名，也不接受合作邀约。"
0201Adv04_Hiro009,さっさと自己紹介をしてくれないか？,赶快开始自我介绍行不行？
0201Adv04_Hiro010,紹介ありがとう。,谢谢你的介绍。
0201Adv04_Hiro011,自己紹介がまだな子！,还没有自我介绍的，快点！
0201Adv04_Hiro012,そう。じゃあ次の子！,哦。下一个！
