id,orig,trans
0101Adv04_Sherry001,"はいはーい！ 私は<ruby=""たちばな"">橘</ruby>シェリーっていいますっ。<br>事件があるところに私あり！<br>この名探偵にお任せください！","嗨嗨～！我叫橘雪莉。<br>
哪里有案件哪里就有我！<br>
一切就交给我这位名侦探吧！"
0101Adv04_Sherry002,そうですよ！ えっへん！<br>何せミステリマニアですからね！,"对哟！咳咳！<br>
因为我可是悬疑迷！"
0101Adv04_Sherry003,それはまだありませんね！,那还没有哦！
0101Adv04_Sherry004,あっ、それ、私も思いました！<br>有名人の方でしょうか！？,"哦，对，我也想起来了！<br>
你是有名人对吧！？"
0101Adv04_Sherry005,やっぱりー！ すごい、生芸能人、初めて見ましたっっ<br>サインください！！,"真是你！好厉害，我还是第一次亲眼见到艺人耶。<br>
请你给我签名！！"
0101Adv04_Sherry006,アリサさん、ですよね。<br>どうしてマスクを？ 顔を見られるとマズいんですか？,"你叫亚里沙，对吗。<br>
为什么戴口罩？被人看到脸会很不好吗？"
0101Adv04_Sherry007,えぇー、とっても気になります！<br>名探偵の血が騒ぐんです！,"哎呀，我超好奇！<br>
名侦探的血都沸腾起来了！"
0101Adv04_Sherry008,私のことさりげなくディスってません？,你刚是不是不经意间在鄙视我？
0101Adv04_Sherry009,てへっ☆ りょーかいしましたー。,欸嘿☆我知道了～
0101Adv04_Sherry010,殺人事件っ！？,凶杀案！？
0101Adv05_Sherry001,はいはい！<br>私もエマさんについていきますよぉ～！,"我也来我也来！<br>
我也要选艾玛这边～！"
0101Adv05_Sherry002,面白そうな方につくのが私の信条ですから！,选边就要选有趣的一边，这就是我的信条！
0101Adv05_Sherry003,そしてエマさん！<br>あなたからは面白そうなにおいがプンプンしているのでっ,"而艾玛你！<br>
我从你的身上闻到了一股超浓郁的有趣味道！"
0101Adv05_Sherry004,あれれ～？<br>グループが２分割しちゃいましたねっ,"哎呀呀～？<br>
意见分成两派了耶。"
0101Adv05_Sherry005,で？ で？ 私たちはどうするんですか？<br>みんなで協力して看守をぶっ殺します？,"然后呢然后呢？？我们接下来做什么？<br>
大家齐心协力去弄死看守？"
0101Adv05_Sherry006,まあそうですよね。,嗯说的也是呢。
0101Adv08_Sherry001,おーい、エマさーん！<br>こっちこっち！,"喂～艾玛～！<br>
过来这边！"
0101Adv08_Sherry002,ビュッフェ形式だったので、<br>エマさんの分も適当に取っておきましたよ！,"这边用餐是自助餐形式，<br>
所以你的份我也帮你取好了！"
0101Adv08_Sherry003,見た目はアレですが、けっこうイケますよ！,虽然看起来不太妙，不过味道还是不错的哦！
0101Adv08_Sherry004,それを想像すると、<br>なんだかあの看守も可愛く思えてきますよねっ,"想像了一下，<br>
总感觉看守也是蛮可爱的耶。"
0101Adv08_Sherry005,さっき出てってやるって息巻いていましたし、<br>脱走でもしたんですかね？,"刚刚她还气势汹汹地说“我要逃出去”呢，<br>
应该是真的在想办法逃跑吧？"
0101Adv08_Sherry006,魔法っていえば、メルルさんの魔法も<br>すごかったですよね！,"说到魔法，梅露露的魔法<br>
真厉害呀！"
0101Adv08_Sherry007,いや現実に魔法があるっていうので<br>私はもうびっくりなんですけどね！,"哎呀，现实中竟然真的有魔法，<br>
真是吓了我一跳！"
0101Adv08_Sherry008,私もエマさんと同じですよ。<br>魔法なんて初めて知りましたし、使えません。,"我和艾玛一样哦。<br>
我也是刚知道有魔法这回事，也不会用。"
0101Adv08_Sherry009,ええ～？ 私不思議な力なんて<br>持ってないですよ？ 特技っていえば。,"欸～？我可没有什么<br>
神奇能力耶？不过特技倒是有一样。"
